symbol,name,sector,cap_type,tracking_notes
JAMNAAUTO.NS,Jamna Auto Industries Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
JAYBARMARU.NS,Jay Bharat Maruti Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
JCTLTD.NS,JCTLTD,Spark Watchlist,Equity,Google Sheet Spark Stock List
JINDALSAW.NS,Jindal SAW Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
JIOFIN.NS,Jio Financial Services Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
JMA.NS,Jullundur Motor Agency (Delhi) Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
JPOLYINVST.NS,Jindal Poly Investment & Finance Co Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
JYOTICNC.NS,Jyoti CNC Automation Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
KICL.NS,Kalyani Investment Company Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
KOKUYOCMLN.NS,Kokuyo Camlin Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
KUANTUM.NS,Kuantum Papers Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
LT.NS,Larsen and Toubro Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
LTF.NS,L&T Finance Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
LUMAXIND.NS,Lumax Industries Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
MANPASAND.NS,MANPASAND,Spark Watchlist,Equity,Google Sheet Spark Stock List
MAZDOCK.NS,Mazagon Dock Shipbuilders Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
MTNL.NS,Mahanagar Telephone Nigam Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
MTZPOLYFILMSLIMITED[FORMLYMTZPOLYSTERLTD].NS,MTZ POLYFILMS LIMITED [FORMLY MTZ POLYSTER LTD],Spark Watchlist,Equity,Google Sheet Spark Stock List
MUTHOOTFIN.NS,Muthoot Finance Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
NATIONALUM.NS,National Aluminium Co Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
NCLIND.NS,Ncl Industries Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
NDRAUTO.NS,NDR Auto Components Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
NHPC.NS,NHPC Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
NMDC.NS,NMDC Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
NSLNISP.NS,NMDC Steel Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
NTPC.NS,NTPC Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
NYKAA.NS,Fsn E-Commerce Ventures Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
OIL.NS,Oil India Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
ONGC.NS,Oil and Natural Gas Corporation Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
ONMOBILE.NS,Onmobile Global Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
ORICONENT.NS,Oricon Enterprises Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
PNB.NS,Punjab National Bank,Spark Watchlist,Equity,Google Sheet Spark Stock List
PNBGILTS.NS,PNB Gilts Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
POLYCAB.NS,Polycab India Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
PREMEXPLN.NS,Premier Explosives Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
RAINBOW.NS,Rainbow Children's Medicare Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
RCF.NS,Rashtriya Chemicals and Fertilizers Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
RCOM.NS,Reliance Communications Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
REDINGTON.NS,Redington Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
RELIANCE.NS,Reliance Industries Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
RHFL.NS,Reliance Home Finance Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
RIIL.NS,Reliance Industrial Infrastructure Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
RML.NS,Rane (Madras) Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
RPOWER.NS,Reliance Power Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
RVNL.NS,Rail Vikas Nigam Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
SADHNANIQ.NS,Sadhana Nitro Chem Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
SAKSOFT.NS,Saksoft Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
SANSTAR.NS,Sanstar Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
